Id,"Case Name","Case Id","Water-binder ratio","Amount of fly ash","Amount of silica fume","Amount of slag","Amount of limestone powder","Amount of Pozzolan","Amount of metakaolin","Fine aggregate","Coarse aggregate",Sp,"Amount of binder","Amount of cement","Type of cement","Amount of water","Specimen size","Transfer coefficient","Test mode","Curing type","Compressive strength",Reference
,,,,,,,,,,kg/m^3,,,kg/m^3,kg/m^3,,kg/m^3,mm,,,,MPa,
18242693,"Compressive strength of concrete at 28 days",1,0.45,0.00,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,390.0,390.0,po42.5,175.0,100,×0.95,GB50081,标养,42.10,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242694,"Compressive strength of concrete at 28 days",2,0.45,0.15,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,390.0,331.5,po42.5,175.0,100,×0.95,GB50081,标养,45.80,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242695,"Compressive strength of concrete at 28 days",3,0.45,0.25,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,390.0,292.5,po42.5,175.0,100,×0.95,GB50081,标养,42.90,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242696,"Compressive strength of concrete at 28 days",4,0.45,0.35,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,390.0,253.5,po42.5,175.0,100,×0.95,GB50081,标养,29.40,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242697,"Compressive strength of concrete at 28 days",5,0.40,0.00,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,440.0,440.0,po42.5,175.0,100,×0.95,GB50081,标养,50.10,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242698,"Compressive strength of concrete at 28 days",6,0.40,0.15,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,440.0,374.0,po42.5,175.0,100,×0.95,GB50081,标养,49.60,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242699,"Compressive strength of concrete at 28 days",7,0.40,0.25,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,440.0,330.0,po42.5,175.0,100,×0.95,GB50081,标养,48.10,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242700,"Compressive strength of concrete at 28 days",8,0.40,0.35,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,440.0,286.0,po42.5,175.0,100,×0.95,GB50081,标养,39.50,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242701,"Compressive strength of concrete at 28 days",9,0.35,0.00,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,485.0,485.0,po42.5,170.0,100,×0.95,GB50081,标养,61.50,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242702,"Compressive strength of concrete at 28 days",10,0.35,0.15,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,485.0,412.0,po42.5,170.0,100,×0.95,GB50081,标养,58.90,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242703,"Compressive strength of concrete at 28 days",11,0.35,0.25,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,485.0,364.0,po42.5,170.0,100,×0.95,GB50081,标养,58.10,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242704,"Compressive strength of concrete at 28 days",12,0.35,0.35,0.00,0.00,0.00,0.00,0.00,850,1250,0.40,485.0,315.0,po42.5,170.0,100,×0.95,GB50081,标养,50.60,"王能. 不同养护条件对粉煤灰混凝土抗碳化性能的影响[D]. 浙江工业大学, 2014."
18242705,"Compressive strength of concrete at 28 days",13,0.50,0.00,0.00,0.00,0.00,0.00,0.00,730,1100,0.40,380.0,380.0,po42.5,190.0,100,,GB50081,标养,35.60,"邱洪林, 叶青. 早期标准养护时间对普通混凝土抗碳化能力的影响[J]. 浙江工业大学学报, 2008, 36(4): 436-440."
18242706,"Compressive strength of concrete at 28 days",14,0.50,0.00,0.00,0.00,0.00,0.00,0.00,730,1100,0.40,380.0,380.0,po42.5,190.0,100,,GB50081,标养,36.50,"邱洪林, 叶青. 早期标准养护时间对普通混凝土抗碳化能力的影响[J]. 浙江工业大学学报, 2008, 36(4): 436-440."
18242707,"Compressive strength of concrete at 28 days",15,0.60,0.00,0.00,0.00,0.00,0.00,0.00,782,1081,0.42,317.0,317.0,po42.5,190.0,100,,GB50081,标养,36.20,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242708,"Compressive strength of concrete at 28 days",16,0.58,0.10,0.00,0.00,0.00,0.00,0.00,777,1074,0.42,316.7,285.0,po42.5,190.0,100,,GB50081,标养,36.00,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242709,"Compressive strength of concrete at 28 days",17,0.55,0.20,0.00,0.00,0.00,0.00,0.00,767,1060,0.42,317.5,254.0,po42.5,190.0,100,,GB50081,标养,35.40,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242710,"Compressive strength of concrete at 28 days",18,0.54,0.30,0.00,0.00,0.00,0.00,0.00,762,1053,0.42,317.1,222.0,po42.5,190.0,100,,GB50081,标养,35.10,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242711,"Compressive strength of concrete at 28 days",19,0.52,0.40,0.00,0.00,0.00,0.00,0.00,753,1039,0.42,316.7,190.0,po42.5,190.0,100,,GB50081,标养,34.70,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242712,"Compressive strength of concrete at 28 days",20,0.50,0.50,0.00,0.00,0.00,0.00,0.00,747,1032,0.42,318.0,159.0,po42.5,190.0,100,,GB50081,标养,34.10,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242713,"Compressive strength of concrete at 28 days",21,0.50,0.00,0.00,0.00,0.00,0.00,0.00,764,1056,0.42,380.0,380.0,po42.5,190.0,100,,GB50081,标养,41.60,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242714,"Compressive strength of concrete at 28 days",22,0.48,0.10,0.00,0.00,0.00,0.00,0.00,758,1047,0.42,380.0,342.0,po42.5,190.0,100,,GB50081,标养,40.30,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242715,"Compressive strength of concrete at 28 days",23,0.46,0.20,0.00,0.00,0.00,0.00,0.00,748,1032,0.42,380.0,304.0,po42.5,190.0,100,,GB50081,标养,40.00,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242716,"Compressive strength of concrete at 28 days",24,0.45,0.30,0.00,0.00,0.00,0.00,0.00,741,1024,0.42,380.0,266.0,po42.5,190.0,100,,GB50081,标养,38.90,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242717,"Compressive strength of concrete at 28 days",25,0.43,0.40,0.00,0.00,0.00,0.00,0.00,731,1009,0.42,380.0,228.0,po42.5,190.0,100,,GB50081,标养,37.20,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
18242718,"Compressive strength of concrete at 28 days",26,0.42,0.50,0.00,0.00,0.00,0.00,0.00,724,1001,0.42,380.0,190.0,po42.5,190.0,100,,GB50081,标养,36.90,"阮琦. 早期养护和粉煤灰掺量对普通混凝土碳化性能的影响[D]. 浙江工业大学, 2013."
