No.;Cement;Silicafume;Flyash;Sand;SteelFiber;QuartzPowder;Water;Admixture;fc
;(kg/m3);(kg/m3);(kg/m3);(kg/m3);(kg/m3);(kg/m3);(kg/m3);(kg/m3);MPa
1;750;115;125;1104;0;0;180;25;125
2;712;115;125;1142;0;0;180;25;125
3;675;115;125;1179;0;0;180;25;118
4;637;115;125;1217;0;0;180;25;118
5;750;115;125;1104;0;0;180;25;128
6;750;115;125;1103;0;0;180;25;124
7;750;115;125;1111;0;0;180;25;116
8;675;115;125;1178;0;0;180;25;128
9;637;115;125;1224;0;0;180;25;110
10;807;225;0;972;0;243;196;13;204
11;712;231;0;1020;156;211;109;30.7;138
12;778;194;189;1166;0;0;185.61;28;185
13;753;188;183;1129;0;0;170.88;27;166
14;745;186;181;1118;0;0;178.94;27;162
15;740;185;180;1110;0;0;173.19;27;200
16;778;194;189;1167;0;0;171.35;28;181
17;758;190;184;1138;0;0;170.2;28;155
18;745;186;181;1118;0;0;178.94;27;159
19;1365;151.6;0;647;0;0;151.6;30.26;136.4
20;1365;149;0;647;51.7652;0;149;30.26;137.9
21;1365;273;0;647;103.5304;0;273;30.26;140.8
22;1365;273;0;647;155.2956;0;273;30.26;155.3
23;1600;273;0;310;0;0;273;38.22;135
24;1600;273;0;310;51.7844;0;273;38.22;135.9
25;1600;320;0;310;103.6088;0;320;38.22;143.2
26;1600;320;0;310;155.4732;0;320;38.22;145.7
27;1600;320;0;310;0;0;320;77.22;124.1
28;1600;320;0;310;52.5444;0;320;77.22;128.3
29;1600;320;0;310;105.0888;0;320;77.22;127.6
30;1600;320;0;310;157.6332;0;320;78.22;144.1
31;1600;320;0;292;0;0;320;35.37;135.5
32;1600;320;0;292;51.3474;0;320;36.37;146.8
33;1600;320;0;292;102.6948;0;320;37.37;144.7
34;1600;320;0;292;154.0422;0;320;38.37;162.4
35;820;273;0;702;157;0;219;65;108
36;820;273;0;624;157;0;219;65;95
37;1040;310;0;800;0;0;240;46.944;140
38;1040;310;0;800;0;0;240;46.944;165
39;1040;310;0;800;47.8;0;240;46.944;195
40;1040;310;0;800;47.8;0;240;46.944;230
41;1040;310;0;800;0;0;240;46.944;140
42;1040;310;0;800;47.8;0;240;46.944;165
43;1040;310;0;800;47.8;0;240;46.944;210
44;510;65;0;1700;0;0;140;46.944;175
45;510;65;0;1700;11.95;0;140;46.944;195
46;510;65;0;1700;11.95;0;140;46.944;240
47;450;50;0;1720;11.95;0;140;46.944;145
48;450;50;0;1720;11.95;0;140;46.944;175
49;710;230;0;1020;156;210;110;30;119
50;967;251;0;675;430;0;244;35;128
51;711;85.32;0;0;0;0;137.2;10.665;115
52;1115;367.95;0;0;0;0;334.5;88.085;210
53;833;199.92;0;0;0;0;195.755;33.32;162
54;550;82.5;0;0;0;0;137;16.5;142
55;1107;343.17;0;0;0;0;195;61.992;217
56;715;157.3;0;0;0;0;167;30.745;178
57;800;150;0;0;20;750;230;25;119
58;1327.8;332;0;0;0;332;254.4;47.8;171
59;1050;275;0;0;470;730;190;35;175
60;657;119;0;1051;157;418;185;185;150.56
61;657;119;0;1051;0;418;185;185;121.32
62;813;203.3;0;1157;0;203.3;160.1;29.3;204
63;775;194;0;1220;0;0;165;10;170
64;845;76.1;0;0;12.6;0;175.45;0;188
65;815;65.2;0;0;8.15;0;163;0;194
66;446;32.6;0;1838;0;0;126;7.4;162
67;443;0;448;1717;0;0;228;0.4;171
68;450;0;0;1800;0;0;126;14;175
69;432;29.7;132;1636;0;0;160.2;7.9;178
70;408;39;0;1520;0;0;190;5.6;178
71;406;40.6;0;1558;0;0;185;4.3;180
72;900;135;0;1293.6;0;0;252;0;185
73;383;67.5;0;1800;0;0;125;14;187
74;775;116.3;0;1297;0;0;209.3;0;192
75;900;135;0;1189;0;0;252;0;195
76;412;41;0;1898;0;0;127;13;198
77;550;0;0;1603;0;0;151;21;199
78;398;0;185;1734.6;0;0;145;7.3;100
79;712;231;0;1231;0;0;109;30.7;101
80;786;256;0;1353;0;0;190;33;103
81;664;142;142;1231;0;0;144;56;104
82;784;256;0;1353;0;0;190;36;110
83;420;60;120;1650;0;0;138;9;110
84;786;256;0;1356;57.3;0;227;33;112
85;900;157.5;0;1030;0;0;207;0;114
86;900;157.5;0;1029.3;1.84;0;216;0;115
87;900;157.5;0;1028;2.76;0;216;0;116
88;731;239;0;1353;0;0;190;31;120
89;784;256;0;1253;0;0;190;33;123
90;800;261;0;1381;60.7;0;247;34;124
91;900;157.5;0;1017.7;11.9;0;216;0;130
92;712;231;0;1231;46.4;0;113.2;32;132
93;784;256;0;1353;0;0;190;33;134
94;800;261;0;1381;60.7;0;247;34;138
95;710;230;0;1231;47.9;0;150;13.4;138
96;1040;310;0;800;0;0;240;20.8;140
97;917;229.2;0;1443;55.8;0;202;0;145
98;784;256;0;1353;57;0;190;33;149
99;1033;258;0;1136.7;0;0;155;16.5;150
100;917;229.2;0;1443;111.6;0;202;0;153
101;786;256;0;1356;58.2;0;227;33;154
102;790;198;192;1141;37.4;0;141;28.4;155
103;665;200;0;1019;0;285;178;25;155
104;609;183;0;1334;0;263;163;21;155
105;900;220;0;1005;46.7;0;162;40;160
106;1040;310;0;800;48.2;0;240;20.8;165
107;917;229;0;1443;167.5;0;202;0;165
108;1050;275;0;730;137.5;0;190;35;169
109;775;194;0;1220;23.6;0;165;10;178
110;959;239.8;0;1055;52.3;0;163;15;200
