No.;Cement;Silicafume;Flyash;Sand;SteelFiber;QuartzPowder;Water;Admixture;fc
1;750;115;125;1104;0;0;180;25;125
2;712;115;125;1142;0;0;180;25;125
3;675;115;125;1179;0;0;180;25;118
4;637;115;125;1217;0;0;180;25;118
5;750;115;125;1104;0;0;180;25;128
6;750;115;125;1103;0;0;180;25;124
7;750;115;125;1111;0;0;180;25;116
8;675;115;125;1178;0;0;180;25;128
9;637;115;125;1224;0;0;180;25;110
10;807;225;0;972;0;243;196;13;204
11;712;231;0;1020;156;211;109;30.7;138
12;778;194;189;1166;0;0;185.61;28;185
13;753;188;183;1129;0;0;170.88;27;166
14;745;186;181;1118;0;0;178.94;27;162
15;740;185;180;1110;0;0;173.19;27;200
16;778;194;189;1167;0;0;171.35;28;181
17;758;190;184;1138;0;0;170.2;28;155
18;745;186;181;1118;0;0;178.94;27;159
19;1365;151.6;0;647;0;0;151.6;30.26;136.4
20;1365;149;0;647;51.7652;0;149;30.26;137.9
21;1365;273;0;647;103.5304;0;273;30.26;140.8
22;1365;273;0;647;155.2956;0;273;30.26;155.3
23;1600;273;0;310;0;0;273;38.22;135
24;1600;273;0;310;51.7844;0;273;38.22;135.9
25;1600;320;0;310;103.6088;0;320;38.22;143.2
26;1600;320;0;310;155.4732;0;320;38.22;145.7
27;1600;320;0;310;0;0;320;77.22;124.1
28;1600;320;0;310;52.5444;0;320;77.22;128.3
29;1600;320;0;310;105.0888;0;320;77.22;127.6
30;1600;320;0;310;157.6332;0;320;78.22;144.1
31;1600;320;0;292;0;0;320;35.37;135.5
32;1600;320;0;292;51.3474;0;320;36.37;146.8
33;1600;320;0;292;102.6948;0;320;37.37;144.7
34;1600;320;0;292;154.0422;0;320;38.37;162.4
35;820;273;0;702;157;0;219;65;108
36;820;273;0;624;157;0;219;65;95
37;1040;310;0;800;0;0;240;46.944;140
38;1040;310;0;800;0;0;240;46.944;165
39;1040;310;0;800;47.8;0;240;46.944;195
40;1040;310;0;800;47.8;0;240;46.944;230
41;1040;310;0;800;0;0;240;46.944;140
42;1040;310;0;800;47.8;0;240;46.944;165
43;1040;310;0;800;47.8;0;240;46.944;210
44;510;65;0;1700;0;0;140;46.944;175
45;510;65;0;1700;11.95;0;140;46.944;195
46;510;65;0;1700;11.95;0;140;46.944;240
47;450;50;0;1720;11.95;0;140;46.944;145
48;450;50;0;1720;11.95;0;140;46.944;175
49;710;230;0;1020;156;210;110;30;119
50;967;251;0;675;430;0;244;35;128
51;711;85.32;0;0;0;0;137.2;10.665;115
52;1115;367.95;0;0;0;0;334.5;88.085;210
53;833;199.92;0;0;0;0;195.755;33.32;162
54;550;82.5;0;0;0;0;137;16.5;142
55;1107;343.17;0;0;0;0;195;61.992;217
56;715;157.3;0;0;0;0;167;30.745;178
57;800;150;0;0;20;750;230;25;119
58;1327.8;332;0;0;0;332;254.4;47.8;171
59;1050;275;0;0;470;730;190;35;175
60;657;119;0;1051;157;418;185;185;150.56
61;657;119;0;1051;0;418;185;185;121.32
62;813;203.3;0;1157;0;203.3;160.1;29.3;204
63;775;194;0;1220;0;0;165;10;170
64;845;76.1;0;0;12.6;0;175.45;0;188
65;815;65.2;0;0;8.15;0;163;0;194
66;446;32.6;0;1838;0;0;126;7.4;162
67;443;0;448;1717;0;0;228;0.4;171
68;450;0;0;1800;0;0;126;14;175
69;432;29.7;132;1636;0;0;160.2;7.9;178
70;408;39;0;1520;0;0;190;5.6;178
71;406;40.6;0;1558;0;0;185;4.3;180
72;900;135;0;1293.6;0;0;252;0;185
73;383;67.5;0;1800;0;0;125;14;187
74;775;116.3;0;1297;0;0;209.3;0;192
75;900;135;0;1189;0;0;252;0;195
76;412;41;0;1898;0;0;127;13;198
77;550;0;0;1603;0;0;151;21;199
